Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,11547,11547-30JUN2022,2022-06-30,2022-06-27,-3,0.0350802594,0.0365050792
Market Model,11547,11547-30JUN2022,2022-06-30,2022-06-28,-2,0.0012324124,0.0188179328
Market Model,11547,11547-30JUN2022,2022-06-30,2022-06-29,-1,0.0257462304,0.0264606898
Market Model,11547,11547-30JUN2022,2022-06-30,2022-06-30,0,-0.0424,-0.034848321
Market Model,11547,11547-30JUN2022,2022-06-30,2022-07-01,1,0.0118003342,0.0006162558
Market Model,11547,11547-30JUN2022,2022-06-30,2022-07-05,2,0.0009288884,-0.004305921
Market Model,11547,11547-30JUN2022,2022-06-30,2022-07-06,3,-0.031140441,-0.033622604
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-09,-3,-0.002801513,-0.009182935
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-13,-2,-0.065880039,-0.060565986
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-14,-1,0.0207368421,0.0076456649
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-15,0,-0.057145804,-0.046100501
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-16,1,-0.00859375,-0.010455407
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-17,2,0.0499605989,0.0382206918
Market Model,11587,11587-15APR2020,2020-04-15,2020-04-20,3,-0.040843591,-0.032500828
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-12,-3,-0.010837171,-0.022321225
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-13,-2,0.0133114215,0.0143808537
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-14,-1,-0.002540815,-0.011872843
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-18,0,0.0072082814,0.0039736613
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-19,1,-0.028734395,-0.01499192
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-20,2,0.0041551247,0.006539684
Market Model,11587,11587-18JAN2011,2011-01-18,2011-01-21,3,-0.00137931,-0.003777031
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-17,-3,-0.011338742,-0.006331912
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-18,-2,-0.000410332,0.0001765782
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-21,-1,-0.003201905,-0.005529228
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-22,0,-0.011201483,-0.008866032
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-23,1,-0.011474147,-0.015938574
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-24,2,-0.021065936,-0.013387725
Market Model,11587,11587-22AUG2023,2023-08-22,2023-08-25,3,-0.018936949,-0.021312842
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-22,-3,0.0012224227,0.0044950158
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-23,-2,0.0121511628,0.0075571113
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-24,-1,-0.003733701,-0.016194397
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-25,0,0.0035170664,-0.002287238
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-28,1,0.0009192761,0.0043128944
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-29,2,-0.018713047,-0.028390162
Market Model,11587,11587-25MAR2011,2011-03-25,2011-03-30,3,0.0080140392,-0.002389227
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-04,-3,0.0449865712,0.0437745529
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-05,-2,0.003426858,-0.00142484
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-06,-1,-0.076627535,-0.079259916
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-07,0,0.0485436893,0.0504387145
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-10,1,0.0008818342,0.0009126333
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-11,2,0.009030837,0.0184715391
Market Model,11600,11600-07AUG2020,2020-08-07,2020-08-12,3,-0.018554901,-0.028910504
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-06,-3,0.0466666667,0.0472218618
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-07,-2,0.050955414,0.0232856135
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-08,-1,0.003030303,0.0078458748
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-11,0,-0.039274924,-0.011204797
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-12,1,-0.028301887,-0.008930028
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-13,2,-0.025889968,-0.015393894
Market Model,11636,11636-11JUL2022,2022-07-11,2022-07-14,3,-0.019933555,-0.009082449
Market Model,11803,11803-02JUL2014,2014-07-02,2014-06-27,-3,0.0925925926,0.0939597923
Market Model,11803,11803-02JUL2014,2014-07-02,2014-06-30,-2,-0.059322034,-0.054342574
Market Model,11803,11803-02JUL2014,2014-07-02,2014-07-01,-1,0.024024024,0.0155578495
Market Model,11803,11803-02JUL2014,2014-07-02,2014-07-02,0,0.0263929619,0.0333792325
Market Model,11803,11803-02JUL2014,2014-07-02,2014-07-03,1,-0.008571429,-0.014027387
Market Model,11803,11803-02JUL2014,2014-07-02,2014-07-07,2,-0.063400576,-0.04457412
Market Model,11803,11803-02JUL2014,2014-07-02,2014-07-08,3,-0.021538462,0.0013016166
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-21,-3,-0.0032,-0.008273034
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-22,-2,0.0064205457,0.0098650023
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-25,-1,0.028708134,0.0326767438
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-26,0,0.0255813953,0.0294189668
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-27,1,0.052154195,0.0410533978
Market Model,11803,11803-26MAR2024,2024-03-26,2024-03-28,2,0.0129310345,0.011920188
Market Model,11803,11803-26MAR2024,2024-03-26,2024-04-01,3,0.0205673759,0.0244049474
Market Model,11850,11850-01AUG2024,2024-08-01,2024-07-29,-3,-0.010483252,-0.01190255
Market Model,11850,11850-01AUG2024,2024-08-01,2024-07-30,-2,0.0178294574,0.0171127906
Market Model,11850,11850-01AUG2024,2024-08-01,2024-07-31,-1,0.0035542016,-0.000119372
Market Model,11850,11850-01AUG2024,2024-08-01,2024-08-01,0,-0.013829159,-0.012920991
Market Model,11850,11850-01AUG2024,2024-08-01,2024-08-02,1,-0.000598546,0.0010415293
Market Model,11850,11850-01AUG2024,2024-08-01,2024-08-05,2,-0.018052704,-0.015080556
Market Model,11850,11850-01AUG2024,2024-08-01,2024-08-06,3,-0.005314978,-0.008227367
